patent_id,section_id,subsection_id,group_id,subgroup_id,category,sequence,text,uuid
6837198,['Y'],['Y10'],['Y10T'],['Y10T74/18288'],['additional'],[4],"A variable valve train ( 1 ) for load control of a spark-ignited internal combustion engine, preferably a fully variable valve train ( 1 ) for throttle-free load control of the internal combustion engine, said valve train ( 1 ) being arranged between cams ( 2 ) of a camshaft ( 3 ) and inlet valves ( 9 ) of cylinders of the internal combustion engine and comprising direct valve actuating elements ( 15 ), transmission elements ( 5 ) and adjusting elements ( 8 , 8 a ) for influencing the lifting function of the transmission elements ( 5 ) that are drivingly installed between the cams ( 2 ) and the valve actuating elements ( 15 ) and have first working surfaces ( 4 ) loaded by the cams ( 2 ) and second working surfaces ( 13 ) acting on the valve actuating elements ( 15 ), characterized in that each cylinder possesses at least two inlet valves ( 9 ), and at least one particular part of the transmission element ( 5 ) comprising the second working surface ( 13 ) and one particular adjusting element ( 8 , 8 a ) are associated to each inlet valve ( 9 ), said particular adjusting element ( 8 , 8 a ) being displaceable relative to a further adjusting element ( 8 , 8 a ) of a second inlet valve ( 9 ) or to further adjusting elements of further inlet valves of each cylinder, the adjusting elements ( 8 ) are pivoting fingers or eccentrics and are mounted on a hollow shaft ( 6 ) that extends in direction of the inlet valves ( 9 ), the adjusting elements ( 8 ) of a first row of identical inlet valves ( 9 ) of all cylinders are fixed to the hollow shaft ( 6 ) by a rigid connection, and when two inlet valves ( 9 ) are provided for each cylinder, the adjusting elements ( 8 a ) of a further row of adjacent identical inlet valves ( 9 ) of all cylinders are rotatably mounted relative to the hollow shaft ( 6 ), a further shaft ( 7 ) is arranged in a bore ( 17 ) of the hollow shaft ( 6 ) for relative rotation thereto, which further shaft ( 7 ) comprises an entraining element ( 19 ) for each adjusting element ( 8 a ) of the further row of identical inner valves ( 9 ), and said entraining element ( 19 ) projects through the hollow shaft ( 6 ) and is connected to the associated adjusting elements ( 8 a ).",2c4c4ae4-ebbe-11ea-a344-121df0c29c1e
6837201,['F'],['F01'],['F01M'],['F01M9/106'],['inventional'],[0],"An intake valve for a combustion engine having an oil reservoir and adapted for combusting fuel, the intake valve comprising: a valve stem; and a valve guide arranged proximate the valve stem, the valve guide and valve stem defining a first clearance dimension and a second clearance dimension between an inner surface of the valve guide and an outer surface of the valve stem, the second clearance dimension being greater than the first clearance dimension; wherein the second clearance dimension is sized to accept a volume of oil quantified to dissolve high boiling fraction from the fuel to lessen the accumulation of high boiling fraction between the valve stem and the valve guide.",090ad87c-ebb6-11ea-a344-121df0c29c1e
6837214,['Y'],['Y02'],['Y02T'],['Y02T10/44'],['additional'],[3],"A control system for an internal combustion engine, wherein a maximum combustion pressure is controlled by changing the start of injection, the control system comprising: an outlier recognition, wherein the outlier recognition identifies the maximum combustion pressure and determines a first or second mode and a diagnostic value as a function of the first or second mode, wherein the outlier recognition determines the first or second mode by calculating a mean value from a first and an nth maximum combustion pressure value, by calculating for each additional maximum combustion pressure value, between the first and nth maximum combustion pressure values, a difference with respect to the mean value and by setting the first mode, when the difference is greater than or equal to a limiting value, or by setting the second mode, when the difference is less than the limiting value.",13c519b2-ebb6-11ea-a344-121df0c29c1e
6837226,['F'],['F02'],['F02M'],['F02M26/48'],['inventional'],[0],"A system for diagnosing EGR valve-related failure conditions, comprising: an EGR valve having a valve inlet in fluid communications with an exhaust manifold of an internal combustion engine and a valve outlet in fluid communications with an intake manifold of said engine, said EGR valve responsive to a valve command to control exhaust gas flow therethrough; an EGR valve position sensor producing an EGR valve position signal indicative of EGR valve position; and an engine controller producing said valve command, said engine controller responsive to said valve position signal to determine a final valve position after a time delay following said valve command commanding said EGR valve from one of a fully closed and a fully open position to one of a fully open and a fully closed position, said engine controller logging an EGR valve response time fault if a difference between said final valve position and an expected valve position is greater than a position threshold.",1e113447-ebd1-11ea-a344-121df0c29c1e
6840170,['Y'],['Y10'],['Y10T'],['Y10T74/18296'],['additional'],[3],"A torque compensation device in a sheet-processing machine, the device comprising: a cam-controlled compensating mechanism including an energy storage device for exerting a force, a cam disk, and a cam follower to be thrown onto said cam disk by action of said force from said energy storage device; and at least one actuating element for locking said cam follower in a rest position in a first-form printing operation.",3188fe45-ebca-11ea-a344-121df0c29c1e
6840171,['B'],['B65'],['B65H'],['B65H2301/522'],['additional'],[3],"An apparatus for threading a continuous web, comprising: a first module and at least one second module connectable to and detachable from one another at an interface and which are successively traversed by the continuous web; respective first and second traction units with corresponding drive units being provided in the first and second modules; a gripper device for gripping a beginning section of the continuous web and attachable to the traction units, the continuous web being pulled with the assistance of said gripper device from an input section to an output section of the respective module given movement of the traction units; a connector device with which the traction units of the two modules residing opposite one another at the interface are connectable to and detachable from one another; and the gripper device transporting a beginning section of the continuous web from the input section of the first module up to the output section of the second module in the connected condition of the traction units.",165676a1-ebc5-11ea-a344-121df0c29c1e
6840186,['F'],['F16'],['F16G'],['F16G11/14'],['inventional'],[2],"A cleat comprising: a leg; a pair of projections extending from the leg; and a hand grip aperture formed in the leg; and means for adjustably mounting the cleat on a support, the mounting means including a strap and a slot formed in the cleat for receiving the strap.",1d0dd1a5-ebc2-11ea-a344-121df0c29c1e
6840191,['A'],['A01'],['A01K'],['A01K5/0128'],['inventional'],[0],"A device for receiving animal food, in particular food for domestic animals, having a bottom part which, for receiving the animal food, has a bowl-like cavity which is bounded by a bottom base and a least one bottom side wall, and having a bowl-like insert part which can be introduced into the bottom part and has an insert base, which is adapted at least more or less to the bottom base part, at least one side wall and an upper opening, wherein the bottom side wall ( 3 ) and the insert side wall ( 6 ) or one or more wall parts connected to the insert side wall ( 6 ) have a difference in wall angles, at least in the initial state, such that the insert part ( 4 ), once inserted into the bottom part ( 1 ), is retained by clamping; and the insert part ( 4 ) is formed from starch.",22ae8935-ebb6-11ea-a344-121df0c29c1e
6840401,['B'],['B65'],['B65D'],['B65D83/0805'],['inventional'],[0],"A baffle structure for dispensing a wipe therethrough comprising: at least a first layer comprising a non-rigid film, the first layer having a first length and a first width and a first dispensing orifice; and at least a second layer comprising a non-rigid film, the second layer having a second length and a second width and a second dispensing orifice, wherein the first layer is disposed over the second layer and at least partially contacts the second layer proximate the dispensing orifices and the first layer is distinct from the second layer so as to be movable relative to the second layer and the wipe may be dispensed sequentially through the first dispensing orifice and the second dispensing orifice.",022b3052-ebb9-11ea-a344-121df0c29c1e
6845797,['C'],['C08'],['C08L'],['C08L21/00'],['inventional'],[0],"A tire comprising: a tread, where said tread includes a thermoset rubber network, where said thermoset rubber network includes from about 0.5 to about 40 weight percent epoxidized rubber that is vulcanized; from about 1 to about 35 parts by weight of a functionalized polyolefin per 100 parts by weight of said vulcanized rubber, where said functionalized polyolefin is an ?-olefin polymer or copolymer that contains terminal or pendent moieties containing acid or anhydride groups; and from about 1 to about 100 parts by weight silica per 100 parts by weight of said vulcanized rubber.",3183e92b-ebb6-11ea-a344-121df0c29c1e
